geom	s0	s1	t3	t1
s0	-1837.808929	-1837.799749	-1837.797767	-1837.797857
s1	2.622364984	2.184725561	2.215634821	2.28681415
t1	1.604206747	1.468890393	1.519451149	1.282294174
t2	1.844574912	1.594796346	1.623659867	1.593792074
t3	2.681493049	2.259550024	2.107396616	2.414269906
soct1	0.164012195	0.3354	0.378021163	0.280713377
soct2	0.310161248	0.1775	0.293428015	0.041231056
soct3	0.414366987	0.4309	0.321869539	0.543415127
zpve	0.5823212	0.5807954	0.5816233	0.5792915












